Nome,Avaliacao,Quantidade de Avaliações,Endereço,Telefone
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
Supermercado São José (Zanin),"4,3",(740),"4,3(740)",(19) 3582-9900
Supermercado São José (Zanin),"4,3",(740),"4,3(740)",(19) 3582-9900
Supermercado São José (Zanin),"4,3",(322),"4,3(322)",(19) 3582-2903
Supermercado Moda,"4,6",(432),"4,6(432)",(19) 3582-2079
Supermercados Gricki Loja 10,"4,4",(841),"4,4(841)",(19) 3582-1286
Supermercado Ideal,"4,5",(257),"4,5(257)",(19) 3582-1907
Supermercado Bella Vista (Zanin),"4,6",(69),"4,6(69)",(19) 3582-2064
Mercado Guerra,"4,6",(236),"4,6(236)",(19) 3584-5569
Supermercado Bela Vista,"4,7",(41),"4,7(41)",(19) 97160-6218
Supermercado São Pedro (Irmãos Tuão),"4,5",(266),"4,5(266)",(19) 3582-5400
M P Dinardi Cia,"4,3",(28),"4,3(28)",(19) 3582-1286
Supermercado Ideal,"4,0",(3),"4,0(3)",N/A
Mercado filiputi,"4,8",(35),"4,8(35)",(19) 3584-4860
Farmácia Drogal,"4,8",(72),"4,8(72)",(19) 3584-7239
Empório Casa Espanhola,"4,8",(66),"4,8(66)",(19) 99256-5087
Supermercado Da Nene 2,"1,0",(1),"1,0(1)",N/A
Empório São Francisco,"4,8",(28),"4,8(28)",(19) 97411-3560
Santa Helena,"5,0",(2),"5,0(2)",N/A
Beep Conectividade e Conveniência - Santa Rita do Passa Quatro,N/A,N/A,Nenhuma avaliação,(19) 98601-4552
Agropecuária Velomar,"4,6",(20),"4,6(20)",(19) 3582-1177
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
